qid,scheme,query_text,gt_domain,gt_doc,pred_domain,pred_doc,topk_domains,hit_exact,domain_hit,ssr_score,t_send_disc,t_recv_disc_reply,t_send_fetch,t_recv_data,rtt_total_ms,hops_disc,hops_fetch,hops_total,n_interest_sent,n_data_recv,bytes_ctrl_tx,bytes_ctrl_rx,bytes_data_tx,bytes_data_rx,timeouts,retransmissions,is_measurable,is_success,is_timeout,timeout_reason,failure_scenario,failure_target,topology,disc_ms,fetch_ms,t_send_disc_ns,t_recv_disc_reply_ns,t_send_fetch_ns,t_recv_data_ns,cache_hit_exact,cache_hit_semantic,sim_max,matched_cache_name,sanr_cluster_id
0,tag,Search for pollution devices in Westside Heights Transit Hub,1,pol_000279;pol_000303;pol_000585,/domain0,/domain0/data/doc/pol_000226,/domain0=0.7234;/domain7=0.7205,0,0,0.723384,20200.000000,20224.115480,20224.115480,20248.505000,48.505000,-1,8,-1,8,1,4789,1132,42,1113,0,0,1,1,0,DOMAIN_WRONG,none,,rocketfuel,24.115480,24.389520,20200000000,20224115480,20224115480,20248505000,0,0,0.000000,,
0,tag,Search for pollution devices in Westside Heights Transit Hub,1,pol_000279;pol_000303;pol_000585,/domain0,/domain0/data/doc/pol_000226,/domain0=0.7234;/domain7=0.7205,0,0,0.723384,20400.000000,20425.263465,20425.263465,20425.263465,25.263465,-1,8,-1,8,1,4789,1132,42,1113,0,0,1,1,0,DOMAIN_WRONG,none,,rocketfuel,25.263465,0.000000,20400000000,20425263465,20425263465,20425263465,0,0,0.000000,,
0,tag,Search for pollution devices in Westside Heights Transit Hub,1,pol_000279;pol_000303;pol_000585,/domain0,/domain0/data/doc/pol_000226,/domain0=0.7234;/domain7=0.7205,0,0,0.723384,20600.000000,20624.878443,20624.878443,20624.878443,24.878443,-1,8,-1,8,1,4789,1132,42,1113,0,0,1,1,0,DOMAIN_WRONG,none,,rocketfuel,24.878443,0.000000,20600000000,20624878443,20624878443,20624878443,0,0,0.000000,,
0,tag,Search for pollution devices in Westside Heights Transit Hub,1,pol_000279;pol_000303;pol_000585,/domain0,/domain0/data/doc/pol_000226,/domain0=0.7234;/domain7=0.7205,0,0,0.723384,20800.000000,20823.745480,20823.745480,20823.745480,23.745480,-1,8,-1,8,1,4789,1132,42,1113,0,0,1,1,0,DOMAIN_WRONG,none,,rocketfuel,23.745480,0.000000,20800000000,20823745480,20823745480,20823745480,0,0,0.000000,,
1,tag,Query traffic records from Old Town Core Civic Center,6,traf_000059;traf_000159;traf_000169;traf_000174;traf_000199;traf_000209;traf_000224;traf_000314;traf_000464;traf_000474;traf_000489;traf_000559;traf_000584;traf_000599,/domain4,/domain4/data/doc/traf_000426,/domain4=0.5571;/domain0=0.5111;/domain1=0.4813,0,0,0.511086,21000.000000,21025.063964,21025.063964,21038.511732,38.511732,-1,4,-1,8,1,4792,1141,43,1114,0,0,1,1,0,DOMAIN_WRONG,none,,rocketfuel,25.063964,13.447768,21000000000,21025063964,21025063964,21038511732,0,0,0.000000,,
1,tag,Query traffic records from Old Town Core Civic Center,6,traf_000059;traf_000159;traf_000169;traf_000174;traf_000199;traf_000209;traf_000224;traf_000314;traf_000464;traf_000474;traf_000489;traf_000559;traf_000584;traf_000599,/domain4,/domain4/data/doc/traf_000426,/domain4=0.5571;/domain0=0.5111;/domain1=0.4813,0,0,0.511086,21200.000000,21224.333497,21224.333497,21224.333497,24.333497,-1,4,-1,8,1,4792,1141,43,1114,0,0,1,1,0,DOMAIN_WRONG,none,,rocketfuel,24.333497,0.000000,21200000000,21224333497,21224333497,21224333497,0,0,0.000000,,
1,tag,Query traffic records from Old Town Core Civic Center,6,traf_000059;traf_000159;traf_000169;traf_000174;traf_000199;traf_000209;traf_000224;traf_000314;traf_000464;traf_000474;traf_000489;traf_000559;traf_000584;traf_000599,/domain4,/domain4/data/doc/traf_000426,/domain4=0.5571;/domain0=0.5111;/domain1=0.4813,0,0,0.511086,21400.000000,21424.876475,21424.876475,21424.876475,24.876475,-1,4,-1,8,1,4792,1141,43,1114,0,0,1,1,0,DOMAIN_WRONG,none,,rocketfuel,24.876475,0.000000,21400000000,21424876475,21424876475,21424876475,0,0,0.000000,,
1,tag,Query traffic records from Old Town Core Civic Center,6,traf_000059;traf_000159;traf_000169;traf_000174;traf_000199;traf_000209;traf_000224;traf_000314;traf_000464;traf_000474;traf_000489;traf_000559;traf_000584;traf_000599,/domain4,/domain4/data/doc/traf_000426,/domain4=0.5571;/domain0=0.5111;/domain1=0.4813,0,0,0.511086,21600.000000,21625.200497,21625.200497,21625.200497,25.200497,-1,4,-1,8,1,4792,1141,43,1114,0,0,1,1,0,DOMAIN_WRONG,none,,rocketfuel,25.200497,0.000000,21600000000,21625200497,21625200497,21625200497,0,0,0.000000,,
2,tag,List streetlight data around Westside Heights Riverside Park,1,sl_000101;sl_000109;sl_000213;sl_000269;sl_000293;sl_000333;sl_000429;sl_000461;sl_000501;sl_000549,/domain0,/domain0/data/doc/sl_000056,/domain0=0.6451,0,0,0.645059,21800.000000,21824.179489,21824.179489,21847.984009,47.984009,-1,8,-1,8,1,4792,966,41,1112,0,0,1,1,0,DOMAIN_WRONG,none,,rocketfuel,24.179489,23.804520,21800000000,21824179489,21824179489,21847984009,0,0,0.000000,,
2,tag,List streetlight data around Westside Heights Riverside Park,1,sl_000101;sl_000109;sl_000213;sl_000269;sl_000293;sl_000333;sl_000429;sl_000461;sl_000501;sl_000549,/domain0,/domain0/data/doc/sl_000056,/domain0=0.6451,0,0,0.645059,22000.000000,22024.635467,22024.635467,22024.635467,24.635467,-1,8,-1,8,1,4792,966,41,1112,0,0,1,1,0,DOMAIN_WRONG,none,,rocketfuel,24.635467,0.000000,22000000000,22024635467,22024635467,22024635467,0,0,0.000000,,
