qid,scheme,query_text,gt_domain,gt_doc,pred_domain,pred_doc,topk_domains,hit_exact,domain_hit,ssr_score,t_send_disc,t_recv_disc_reply,t_send_fetch,t_recv_data,rtt_total_ms,hops_disc,hops_fetch,hops_total,n_interest_sent,n_data_recv,bytes_ctrl_tx,bytes_ctrl_rx,bytes_data_tx,bytes_data_rx,timeouts,retransmissions,is_measurable,is_success,is_timeout,timeout_reason,failure_scenario,failure_target,topology,disc_ms,fetch_ms,t_send_disc_ns,t_recv_disc_reply_ns,t_send_fetch_ns,t_recv_data_ns,cache_hit_exact,cache_hit_semantic,sim_max,matched_cache_name,sanr_cluster_id
4,iroute,Give me streetlight information near Westside Heights University Campus,1,sl_000101;sl_000109;sl_000213;sl_000269;sl_000293;sl_000333;sl_000429;sl_000461;sl_000501;sl_000549,/domain1,/domain1/data/doc/sl_000501,/domain1=2.90381(0.70149);/domain9=2.90381(0.70149);/domain7=2.1253(0.518064);/domain15=2.1253(0.518064);/domain11=2.04113(0.566817),1,1,0.748806,20200.000000,20220.271170,20221.532028,20241.804733,41.804733,-1,5,-1,2,1,3017,169,43,1112,0,0,1,1,0,,none,,rocketfuel,20.271170,20.272705,20200000000,20220271170,20221532028,20241804733,0,0,0.000000,,
24,iroute,Give me parking information near South Hills Main Station,3,p_000078;p_000150;p_000168;p_000252;p_000270;p_000312;p_000348;p_000360;p_000390;p_000468;p_000570;p_000588,/domain3,/domain3/data/doc/p_000424,/domain11=3.11877(0.8409);/domain3=2.99377(0.8409);/domain9=2.91457(0.700749);/domain1=2.91457(0.700749);/domain6=2.55235(0.651925),0,1,0.777258,20400.000000,20420.381165,20425.452149,20445.834844,45.834844,-1,5,-1,3,1,3016,168,42,1111,0,0,1,1,0,,none,,rocketfuel,20.381165,20.382695,20400000000,20420381165,20425452149,20445834844,0,0,0.000000,,
38,iroute,List parking data around North Harbor Clock Tower,0,p_000004;p_000034;p_000148;p_000196;p_000208;p_000220;p_000370;p_000592,/domain0,/domain0/data/doc/p_000204,/domain8=2.52488(0.675891);/domain0=2.39988(0.675891);/domain6=2.20868(0.573719);/domain9=2.16143(0.537208);/domain1=2.16143(0.537208),0,1,0.712485,20600.000000,20623.009064,20628.735654,20651.747166,51.747166,-1,8,-1,3,1,3015,168,42,1111,0,0,1,1,0,,none,,rocketfuel,23.009064,23.011512,20600000000,20623009064,20628735654,20651747166,0,0,0.000000,,
39,iroute,Query parking records from Eastshore Quarter Waterfront,2,p_000022;p_000046;p_000052;p_000088;p_000226;p_000238;p_000280;p_000472,/domain2,/domain2/data/doc/p_000181,/domain10=2.76118(0.765849);/domain2=2.63618(0.765849);/domain9=2.55451(0.622562);/domain1=2.55451(0.622562);/domain5=2.50805(0.601542),0,1,0.776563,20800.000000,20827.621798,20827.621798,20855.245432,55.245432,-1,6,-1,3,1,3016,168,42,1111,0,0,1,1,0,,none,,rocketfuel,27.621798,27.623634,20800000000,20827621798,20827621798,20855245432,0,0,0.000000,,
47,iroute,Give me pollution information near Greenfield Park University Campus,7,pol_000093;pol_000125;pol_000133;pol_000149;pol_000153;pol_000169;pol_000229;pol_000253;pol_000273;pol_000285;pol_000309;pol_000313;pol_000345;pol_000369;pol_000405;pol_000473;pol_000509;pol_000513;pol_000589,/domain7,/domain7/data/doc/pol_000038,/domain7=2.95627(0.71611);/domain15=2.95627(0.71611);/domain9=2.7899(0.675152);/domain1=2.7899(0.675152);/domain5=2.48025(0.592865),0,1,0.832777,21000.000000,21021.784540,21021.784540,21042.794308,42.794308,-1,4,-1,3,1,3016,170,44,1113,0,0,1,1,0,,none,,rocketfuel,21.784540,21.009768,21000000000,21021784540,21021784540,21042794308,0,0,0.000000,,
53,iroute,Show pollution status for the Midtown Center Residential Block zone,4,pol_000065;pol_000097;pol_000221;pol_000265;pol_000301;pol_000365;pol_000385;pol_000429;pol_000493;pol_000501;pol_000521;pol_000525;pol_000561,/domain4,/domain4/data/doc/pol_000221,/domain4=2.67678(0.723904);/domain12=2.61428(0.723904);/domain9=2.47021(0.60558);/domain1=2.47021(0.60558);/domain11=2.06833(0.582721),1,1,0.764916,21200.000000,21220.690540,21222.997547,21242.863315,42.863315,-1,4,-1,2,1,3017,170,44,1113,0,0,1,1,0,,none,,rocketfuel,20.690540,19.865768,21200000000,21220690540,21222997547,21242863315,0,0,0.000000,,
64,iroute,Show parking status for the Old Town Core Financial Row zone,6,p_000032;p_000074;p_000140;p_000278;p_000290;p_000296;p_000356;p_000416;p_000428;p_000488;p_000512;p_000524;p_000584,/domain6,/domain6/data/doc/p_000005,/domain6=2.97815(0.74882);/domain14=2.85315(0.74882);/domain7=2.46751(0.590099);/domain15=2.46751(0.590099);/domain1=2.38861(0.586539),0,1,0.769151,21400.000000,21425.470165,21426.798277,21452.250972,52.250972,-1,5,-1,3,1,3017,168,42,1111,0,0,1,1,0,,none,,rocketfuel,25.470165,25.452695,21400000000,21425470165,21426798277,21452250972,0,0,0.000000,,
72,iroute,Find all parking sensors in South Hills,3,p_000309;p_000333;p_000339;p_000345;p_000369;p_000453;p_000507;p_000579,/domain1,/domain1/data/doc/traf_000135,/domain11=2.54702(0.670631);/domain9=2.53495(0.606958);/domain1=2.53495(0.606958);/domain3=2.42202(0.670631);/domain7=2.39491(0.584926),0,0,0.651275,21600.000000,21620.271180,21621.009529,21641.282249,41.282249,-1,5,-1,3,1,3016,171,45,1114,0,0,1,1,0,,none,,rocketfuel,20.271180,20.272720,21600000000,21620271180,21621009529,21641282249,0,0,0.000000,,
73,iroute,What traffic readings are reported in Greenfield Park?,7,traf_000100;traf_000154;traf_000184;traf_000196;traf_000220;traf_000250;traf_000268;traf_000280;traf_000286;traf_000316;traf_000496;traf_000520;traf_000598,/domain7,/domain7/data/doc/traf_000548,/domain7=3.33211(0.792189);/domain15=3.33211(0.792189);/domain9=2.76511(0.656018);/domain1=2.76511(0.656018);/domain11=2.59346(0.682019),0,1,0.749900,21800.000000,21821.954544,21821.954544,21842.964320,42.964320,-1,4,-1,2,1,3017,171,45,1114,0,0,1,1,0,,none,,rocketfuel,21.954544,21.009776,21800000000,21821954544,21821954544,21842964320,0,0,0.000000,,
75,iroute,Search for parking devices in South Hills Waterfront,3,p_000001;p_000013;p_000205;p_000247;p_000367;p_000373;p_000517;p_000577,/domain1,/domain1/data/doc/p_000144,/domain11=2.69137(0.732198);/domain9=2.67026(0.647699);/domain1=2.67026(0.647699);/domain3=2.56637(0.732198);/domain5=2.53006(0.606342),0,0,0.763584,22000.000000,22021.112165,22021.112165,22041.384860,41.384860,-1,5,-1,3,1,3016,168,42,1111,0,0,1,1,0,,none,,rocketfuel,21.112165,20.272695,22000000000,22021112165,22021112165,22041384860,0,0,0.000000,,
