tokenized_query,type,doc_id,canonical_name,domain_id
search-for-pollution-devices-in-westside-heights-transit-hub,pollution,pol_000279,/d1/pollution/pol_000279,1
query-traffic-records-from-old-town-core-civic-center,traffic,traf_000059,/d6/traffic/traf_000059,6
list-streetlight-data-around-westside-heights-riverside-park,streetlight,sl_000101,/d1/streetlight/sl_000101,1
query-parking-records-from-south-hills-residential-block,parking,p_000062,/d3/parking/p_000062,3
give-me-streetlight-information-near-westside-heights-university-campus,streetlight,sl_000101,/d1/streetlight/sl_000101,1
give-me-traffic-information-near-old-town-core-cultural-center,traffic,traf_000118,/d6/traffic/traf_000118,6
what-traffic-readings-are-reported-in-greenfield-park,traffic,traf_000277,/d7/traffic/traf_000277,7
give-me-parking-information-near-north-harbor-main-station,parking,p_000009,/d0/parking/p_000009,0
list-traffic-data-around-south-hills-waterfront-promenade,traffic,traf_000026,/d3/traffic/traf_000026,3
give-me-streetlight-information-near-old-town-core-city-hall,streetlight,sl_000092,/d6/streetlight/sl_000092,6
search-for-parking-devices-in-old-town-core-civic-center,parking,p_000003,/d6/parking/p_000003,6
query-pollution-records-from-lakeside-district-downtown,pollution,pol_000135,/d5/pollution/pol_000135,5
locate-every-pollution-unit-across-greenfield-park,pollution,pol_000093,/d7/pollution/pol_000093,7
give-me-streetlight-information-near-north-harbor-cultural-center,streetlight,sl_000113,/d0/streetlight/sl_000113,0
what-streetlight-readings-are-reported-in-midtown-center,streetlight,sl_000014,/d4/streetlight/sl_000014,4
find-all-pollution-sensors-in-lakeside-district,pollution,pol_000138,/d5/pollution/pol_000138,5
what-parking-readings-are-reported-in-westside-heights,parking,p_000244,/d1/parking/p_000244,1
query-traffic-records-from-south-hills-commercial-strip,traffic,traf_000022,/d3/traffic/traf_000022,3
what-streetlight-readings-are-reported-in-lakeside-district,streetlight,sl_000582,/d5/streetlight/sl_000582,5
locate-every-pollution-unit-across-greenfield-park,pollution,pol_000059,/d7/pollution/pol_000059,7
find-all-parking-sensors-in-westside-heights,parking,p_000302,/d1/parking/p_000302,1
search-for-streetlight-devices-in-north-harbor-commercial-strip,streetlight,sl_000010,/d0/streetlight/sl_000010,0
give-me-pollution-information-near-eastshore-quarter-city-hall,pollution,pol_000028,/d2/pollution/pol_000028,2
query-parking-records-from-westside-heights-waterfront,parking,p_000136,/d1/parking/p_000136,1
give-me-parking-information-near-south-hills-main-station,parking,p_000078,/d3/parking/p_000078,3
locate-every-parking-unit-across-greenfield-park,parking,p_000041,/d7/parking/p_000041,7
find-all-parking-sensors-in-old-town-core,parking,p_000005,/d6/parking/p_000005,6
show-pollution-status-for-the-south-hills-transit-hub-zone,pollution,pol_000074,/d3/pollution/pol_000074,3
search-for-pollution-devices-in-old-town-core-commercial-strip,pollution,pol_000032,/d6/pollution/pol_000032,6
give-me-pollution-information-near-old-town-core-cultural-center,pollution,pol_000034,/d6/pollution/pol_000034,6
find-all-traffic-sensors-in-lakeside-district,traffic,traf_000376,/d5/traffic/traf_000376,5
query-pollution-records-from-north-harbor-civic-center,pollution,pol_000126,/d0/pollution/pol_000126,0
search-for-pollution-devices-in-midtown-center-waterfront,pollution,pol_000120,/d4/pollution/pol_000120,4
list-traffic-data-around-midtown-center-lighthouse,traffic,traf_000044,/d4/traffic/traf_000044,4
what-parking-readings-are-reported-in-lakeside-district,parking,p_000076,/d5/parking/p_000076,5
list-parking-data-around-eastshore-quarter-main-station,parking,p_000022,/d2/parking/p_000022,2
find-all-traffic-sensors-in-old-town-core,traffic,traf_000020,/d6/traffic/traf_000020,6
query-streetlight-records-from-greenfield-park-industrial-zone,streetlight,sl_000153,/d7/streetlight/sl_000153,7
list-parking-data-around-north-harbor-clock-tower,parking,p_000004,/d0/parking/p_000004,0
query-parking-records-from-eastshore-quarter-waterfront,parking,p_000022,/d2/parking/p_000022,2
give-me-traffic-information-near-lakeside-district-city-hall,traffic,traf_000334,/d5/traffic/traf_000334,5
find-all-traffic-sensors-in-south-hills,traffic,traf_000026,/d3/traffic/traf_000026,3
list-streetlight-data-around-eastshore-quarter-riverside-park,streetlight,sl_000007,/d2/streetlight/sl_000007,2
what-pollution-readings-are-reported-in-south-hills,pollution,pol_000046,/d3/pollution/pol_000046,3
search-for-traffic-devices-in-north-harbor-waterfront,traffic,traf_000259,/d0/traffic/traf_000259,0
give-me-parking-information-near-old-town-core-botanical-garden,parking,p_000032,/d6/parking/p_000032,6
query-traffic-records-from-greenfield-park-arts-quarter,traffic,traf_000074,/d7/traffic/traf_000074,7
give-me-pollution-information-near-greenfield-park-university-campus,pollution,pol_000093,/d7/pollution/pol_000093,7
show-parking-status-for-the-eastshore-quarter-arts-quarter-zone,parking,p_000022,/d2/parking/p_000022,2
give-me-parking-information-near-old-town-core-shopping-mall,parking,p_000070,/d6/parking/p_000070,6
list-parking-data-around-lakeside-district-shopping-mall,parking,p_000335,/d5/parking/p_000335,5
show-traffic-status-for-the-south-hills-financial-row-zone,traffic,traf_000149,/d3/traffic/traf_000149,3
locate-every-streetlight-unit-across-eastshore-quarter,streetlight,sl_000020,/d2/streetlight/sl_000020,2
show-pollution-status-for-the-midtown-center-residential-block-zone,pollution,pol_000065,/d4/pollution/pol_000065,4
query-streetlight-records-from-eastshore-quarter-industrial-zone,streetlight,sl_000003,/d2/streetlight/sl_000003,2
give-me-traffic-information-near-eastshore-quarter-cultural-center,traffic,traf_000034,/d2/traffic/traf_000034,2
show-streetlight-status-for-the-midtown-center-civic-center-zone,streetlight,sl_000017,/d4/streetlight/sl_000017,4
what-parking-readings-are-reported-in-greenfield-park,parking,p_000475,/d7/parking/p_000475,7
list-pollution-data-around-south-hills-historic-market,pollution,pol_000074,/d3/pollution/pol_000074,3
what-streetlight-readings-are-reported-in-south-hills,streetlight,sl_000033,/d3/streetlight/sl_000033,3
show-streetlight-status-for-the-north-harbor-waterfront-zone,streetlight,sl_000010,/d0/streetlight/sl_000010,0
list-parking-data-around-midtown-center-clock-tower,parking,p_000017,/d4/parking/p_000017,4
give-me-traffic-information-near-greenfield-park-cultural-center,traffic,traf_000003,/d7/traffic/traf_000003,7
locate-every-parking-unit-across-greenfield-park,parking,p_000041,/d7/parking/p_000041,7
show-parking-status-for-the-old-town-core-financial-row-zone,parking,p_000032,/d6/parking/p_000032,6
show-pollution-status-for-the-greenfield-park-financial-row-zone,pollution,pol_000355,/d7/pollution/pol_000355,7
show-parking-status-for-the-lakeside-district-waterfront-zone,parking,p_000055,/d5/parking/p_000055,5
list-traffic-data-around-westside-heights-historic-market,traffic,traf_000591,/d1/traffic/traf_000591,1
